organization,url,archived_url,depth,environmental,environment,chemical,chemicals,contaminant,contaminants,contamination,pollution,pollutants,pollutant,endocrine disruptor,endocrine disruptors,endocrine disrupting chemical,endocrine disrupting chemicals,prevention,toxic,toxics,toxin,toxins,pfoa,pfos,pfas,pfcs,pfc,perfluorinated chemicals,precautionary principle,hormone disrupting chemical,hormone disrupting chemicals,pesticide,pesticides,flame retardant,flame retardants,bpa,phthalates,phthalate,paraben,parabens,bisphenol,bisphenols,lead,oxybenzone,diet,exercise,genetics,family history,obese,overweight,pregnancy history,alcohol,dense breasts,physically active,oral contraceptives,birth control,des,diethylstilbestrol,hormone therapy,hrt,pah,pahs,air pollution,physical activity,breast density,black,african american,african americans,african-american,african-americans,latina,latinas,hispanic,latino,asian,disparity,disparities,brac1,brac2,native-american,native-americans,native americans,native american,ethnicity
NCI,https://cisnet.cancer.gov/breast/profiles.html,https://web.archive.org/web/20190508012836/https://cisnet.cancer.gov/breast/profiles.html,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://training.seer.cancer.gov/breast/intro/,https://web.archive.org/web/20190508012837/https://training.seer.cancer.gov/breast/intro/,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACS,http://pressroom.cancer.org/breastcancerwalking,https://web.archive.org/web/20190508012838/http://pressroom.cancer.org/breastcancerwalking,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://li-gis.cancer.gov/maps/breastcancer.html,https://web.archive.org/web/20190508012839/https://li-gis.cancer.gov/maps/breastcancer.html,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://training.seer.cancer.gov/breast/anatomy/,https://web.archive.org/web/20190508012840/https://training.seer.cancer.gov/breast/anatomy/,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACS,https://www.cancer.org/cancer/breast-cancer.html,https://web.archive.org/web/20190508012841/https://www.cancer.org/cancer/breast-cancer.html,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://cisnet.cancer.gov/breast/comparative.html,https://web.archive.org/web/20190508012841/https://cisnet.cancer.gov/breast/comparative.html,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://www.cancer.gov/about-cancer/managing-care,https://web.archive.org/web/20190508012843/https://www.cancer.gov/about-cancer/managing-care,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACS,http://pressroom.cancer.org/BreastCancerStats2017,https://web.archive.org/web/20190508012845/http://pressroom.cancer.org/BreastCancerStats2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
NCI,https://www.cancer.gov/types/breast/ibc-fact-sheet,https://web.archive.org/web/20190508012846/https://www.cancer.gov/types/breast/ibc-fact-sheet,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://cisnet.cancer.gov/grants/breast/zelen.html,https://web.archive.org/web/20190508012847/https://cisnet.cancer.gov/grants/breast/zelen.html,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://www.cancer.gov/types/breast/breast-changes,https://web.archive.org/web/20190508012848/https://www.cancer.gov/types/breast/breast-changes,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://training.seer.cancer.gov/breast/treatment/,https://web.archive.org/web/20190508012849/https://training.seer.cancer.gov/breast/treatment/,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://seer.cancer.gov/statfacts/html/breast.html,https://web.archive.org/web/20190508012850/https://seer.cancer.gov/statfacts/html/breast.html,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0
NCI,https://www.cancer.gov/types/breast/research/altto,https://web.archive.org/web/20190508012852/https://www.cancer.gov/types/breast/research/altto,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://www.cancer.gov/types/breast/research/t-dm1,https://web.archive.org/web/20190508012853/https://www.cancer.gov/types/breast/research/t-dm1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://healthcaredelivery.cancer.gov/icsn/breast/,https://web.archive.org/web/20190508012855/https://www.cancer.gov/about-nci/organization/cgh/research/icsn,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://cisnet.cancer.gov/breast/achievements.html,https://web.archive.org/web/20190508012857/https://cisnet.cancer.gov/breast/achievements.html,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
NCI,https://cisnet.cancer.gov/grants/breast/berry.html,https://web.archive.org/web/20190508012857/https://cisnet.cancer.gov/grants/breast/berry.html,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://training.seer.cancer.gov/breast/index.html,https://web.archive.org/web/20190508012858/https://training.seer.cancer.gov/breast/index.html,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://www.cancer.gov/types/breast/surgery-choices,https://web.archive.org/web/20190508012859/https://www.cancer.gov/types/breast/surgery-choices,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://cisnet.cancer.gov/grants/breast/alagoz.html,https://web.archive.org/web/20190508012900/https://cisnet.cancer.gov/grants/breast/alagoz.html,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
NCI,https://www.cancer.gov/about-cancer/coping/feelings,https://web.archive.org/web/20190508012900/https://www.cancer.gov/about-cancer/coping/feelings,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://www.cancer.gov/types/breast/risk-fact-sheet,https://web.archive.org/web/20190508012902/https://www.cancer.gov/types/breast/risk-fact-sheet,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACS,http://pressroom.cancer.org/SpanishBreastCancerBook,https://web.archive.org/web/20190508012903/http://pressroom.cancer.org/SpanishBreastCancerBook,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://cisnet.cancer.gov/grants/breast/habbema.html,https://web.archive.org/web/20190508012904/https://cisnet.cancer.gov/grants/breast/habbema.html,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://www.cancer.gov/types/breast/research/tailorx,https://web.archive.org/web/20190508012905/https://www.cancer.gov/types/breast/research/tailorx,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://cisnet.cancer.gov/grants/breast/fryback.html,https://web.archive.org/web/20190508012906/https://cisnet.cancer.gov/grants/breast/fryback.html,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://crn.cancer.gov/projects/treatment/breast.html,https://web.archive.org/web/20190508012907/https://healthcaredelivery.cancer.gov/crn/,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://cisnet.cancer.gov/grants/breast/yakovlev.html,https://web.archive.org/web/20190508012908/https://cisnet.cancer.gov/grants/breast/yakovlev.html,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACS,http://blogs.cancer.org/drlen/category/breast-cancer/,https://web.archive.org/web/20190508012909/http://blogs.cancer.org/drlen/category/breast-cancer/,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NCI,https://trp.cancer.gov/spores/abstracts/unc_breast.htm,https://web.archive.org/web/20190508012911/https://trp.cancer.gov/spores/abstracts/unc_breast.htm,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
NCI,https://cisnet.cancer.gov/grants/breast/plevritis.html,https://web.archive.org/web/20190508012912/https://cisnet.cancer.gov/grants/breast/plevritis.html,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACS,https://www.cancer.org/cancer/breast-cancer/about.html,https://web.archive.org/web/20190508012913/https://www.cancer.org/cancer/breast-cancer/about.html,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://training.seer.cancer.gov/breast/intro/risk.html,https://web.archive.org/web/20190508012914/https://training.seer.cancer.gov/breast/intro/risk.html,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://trp.cancer.gov/spores/abstracts/mayo_breast.htm,https://web.archive.org/web/20190508012915/https://trp.cancer.gov/spores/abstracts/mayo_breast.htm,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://www.cancer.gov/about-cancer/coping/survivorship,https://web.archive.org/web/20190508012916/https://www.cancer.gov/about-cancer/coping/survivorship,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACS,https://www.cancer.org/cancer/breast-cancer-in-men.html,https://web.archive.org/web/20190508012917/https://www.cancer.org/cancer/breast-cancer-in-men.html,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://seer.cancer.gov/news/breast-treatment-delay.html,https://web.archive.org/web/20190508012918/https://seer.cancer.gov/news/breast-treatment-delay.html,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NCI,https://trp.cancer.gov/spores/abstracts/dfhcc_breast.htm,https://web.archive.org/web/20190508012919/https://trp.cancer.gov/spores/abstracts/dfhcc_breast.htm,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://cisnet.cancer.gov/grants/breast/mandelblatt.html,https://web.archive.org/web/20190508012920/https://cisnet.cancer.gov/grants/breast/mandelblatt.html,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
NCI,https://resources.cisnet.cancer.gov/registry/grid/breast,https://web.archive.org/web/20190508012922/https://resources.cisnet.cancer.gov/registry/grid/breast,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://training.seer.cancer.gov/breast/intro/types.html,https://web.archive.org/web/20190508012923/https://training.seer.cancer.gov/breast/intro/types.html,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://progressreport.cancer.gov/tables/breast-cervical,https://web.archive.org/web/20190508012924/https://progressreport.cancer.gov/tables/breast-cervical,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACS,http://pressroom.cancer.org/SineshawMaleBreastCancerRace,https://web.archive.org/web/20190508012926/http://pressroom.cancer.org/SineshawMaleBreastCancerRace,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
NCI,https://progressreport.cancer.gov/treatment/breast_cancer,https://web.archive.org/web/20190508012927/https://progressreport.cancer.gov/treatment/breast_cancer,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
